sourceip,"LatestAttack [UTC]","FirstAttack [UTC]",ActivityDuration,AttackCount,IsRecent,Country,TargetUsernames
"80.94.95.90","20/04/2025, 08:34:32.000","20/04/2025, 08:26:04.000","00:08:28",148,Active,Hungary,"[""named"",""station2"",""audit"",""test01"",""bill"",""usuario"",""sales"",""irwin"",""produccion"",""mango"",""houston"",""rja"",""administrador"",""administrateur"",""Admin1"",""User1"",""User2"",""Test2"",""User"",""Admin2"",""Test"",""Administrator"",""Test1"",""Temp"",""Admin"",""Usuario""]"
"92.53.90.104","18/04/2025, 11:18:49.000","15/04/2025, 08:17:40.000","3.03:01:09",159,Active,Russia,"[""gaby"",""srv"",""assistenza"",""officer"",""bernd"",""remoto01"",""gerente"",""craig"",""recepcja"",""fujitsu"",""esteban"",""nomina"",""utente2"",""update"",""nvr"",""tina"",""nelson"",""milestone"",""mediacenter"",""antonella"",""rob"",""gerardo"",""hector"",""debora"",""dirk"",""dorota"",""prova"",""andrei"",""standard"",""mohammad"",""testadmin"",""amministratore"",""iwona"",""bobby"",""joao"",""lukasz"",""marcin"",""tesoreria"",""hugo"",""henry"",""nicole"",""tienda"",""internet"",""samuel"",""lan"",""johanna"",""crystal"",""szymon"",""tania"",""usuario4"",""kamera"",""konica"",""alice"",""tpv"",""cad"",""user04"",""admin3"",""bureau"",""pat"",""expedicao"",""seven"",""bruce"",""uzivatel"",""charles"",""maribel"",""servis"",""lucy"",""isabel"",""alexander"",""gabriele"",""toni"",""andreas"",""serwer"",""shared"",""demo1"",""julian"",""magazzino"",""joel"",""principal"",""remote"",""setup"",""philip""]"
"112.134.153.116","18/04/2025, 11:18:08.000","16/04/2025, 08:36:25.000","2.02:41:43",46,Active,"Sri Lanka","[""hvjhvjhvjhjhbjbjbjkbjkbjkbkjb"",""AdminS"",""ADMIN"",""az"",""10899354@students.plymouth.ac.uk"",""casdf"",""test""]"
"194.165.17.21","18/04/2025, 11:06:17.000","15/04/2025, 08:27:46.000","3.02:38:31",13,Active,Lithuania,"[""Administrator"",""6218"",""System32"",""nicadmin2"",""Zeiss"",""z1oi""]"
"71.82.170.60","18/04/2025, 10:15:27.000","15/04/2025, 09:39:28.000","3.00:35:59",8,Active,"United States","[""Administrator"",""NOC"",""netadm""]"
"80.94.95.198","18/04/2025, 09:25:29.000","15/04/2025, 10:03:32.000","2.23:21:57",12,Active,Hungary,"[""Administrator"",""ericsson"",""stahelena"",""PhonixSQL"",""Customer"",""QBDataServiceUser21""]"
"211.185.207.14","17/04/2025, 12:18:17.000","15/04/2025, 09:15:28.000","2.03:02:49",10,Active,"South Korea","[""AQTech"",""Admin"",""Usu?rio"",""Administrator"",""Zenien""]"
"200.32.46.130","16/04/2025, 14:36:50.000","16/04/2025, 14:15:33.000","00:21:17",2490,Active,Argentina,"[""administrator""]"
"188.124.37.22","16/04/2025, 14:31:45.000","16/04/2025, 13:07:19.000","01:24:26",26,Active,Russia,"[""srv"",""assistenza"",""officer"",""bernd"",""remoto01"",""gerente"",""jamie"",""cash"",""sklad"",""ponto"",""virtual"",""gaby"",""mostafa""]"
"5.178.87.180","16/04/2025, 11:38:07.000","16/04/2025, 10:48:20.000","00:49:47",752,Active,Russia,"[""windows10"",""pilar"",""main"",""cindy"",""familia"",""cristian"",""ryan"",""manutencao"",""han"",""rita"",""damian"",""erica"",""data"",""kasia"",""lorena"",""transfer"",""lucia"",""fiscal"",""thiago"",""webadmin"",""vpn2"",""computer"",""ventas2"",""warehouse"",""estoque"",""segreteria"",""alessandro"",""jon"",""julio"",""demouser"",""simon"",""amr"",""front"",""aaa"",""itadmin"",""frontdesk"",""pc1"",""claudio"",""logistica"",""justin"",""pc3"",""public"",""matt"",""webuser"",""training"",""paola"",""cliente"",""alejandra"",""shop"",""laptop"",""db2admin"",""kasa"",""taller"",""bizhub"",""lab"",""muhasebe"",""camila"",""natalia"",""andrew"",""operatore"",""fabio"",""george"",""sekretariat"",""acesso"",""ftptest"",""richard"",""carla"",""francisco"",""reportuser"",""leandro"",""jeremy"",""mohamed"",""elena"",""nicolas"",""cecilia"",""oem"",""ospite"",""sonia"",""adrian"",""amy"",""pc2"",""jim"",""angel"",""rosa"",""usuario1"",""faturamento"",""rh"",""marina"",""steven"",""copier"",""backoffice"",""junior"",""pablo"",""adminuser"",""tecnico"",""kyocera"",""serwis"",""pedro"",""marcia"",""eric"",""amministrazione"",""boss"",""bridge"",""thais"",""michelle"",""acer"",""stefan"",""mauro"",""jan"",""heather"",""ania"",""siemens"",""sofia"",""dispatch"",""serveur"",""mariusz"",""deposito"",""mc"",""host"",""matthew"",""jean"",""jordi"",""user001"",""paolo"",""dora"",""luca"",""albert"",""paula"",""clinica"",""remoto3"",""luiz"",""user10"",""nina"",""jane"",""ron"",""ramon"",""noc"",""ts"",""sharon"",""eva"",""veronica"",""asistente"",""alfonso"",""terminal2"",""bodega"",""fabiana"",""jonas"",""compartido"",""barbara"",""express"",""rose"",""apteka"",""jay"",""new"",""brenda"",""impressora"",""leo"",""liliana"",""vps"",""shipping"",""gamer"",""guilherme"",""general"",""lena"",""cctv"",""josh"",""marketing"",""ipad"",""install"",""thomas"",""acc"",""igor"",""patrick"",""lee"",""visitor"",""brian"",""usuario3"",""security"",""loja"",""ftp-user"",""terminal"",""bill"",""laboratorio"",""max"",""user02"",""karen"",""calidad"",""balcao"",""guest1"",""melissa"",""contabil"",""tim"",""vanessa"",""jack"",""aa"",""user4"",""ivan"",""jessica"",""gary"",""me"",""aspnet"",""daniela"",""scott"",""linda"",""cesar"",""secretaria"",""leonardo"",""diana"",""atendimento"",""amir"",""remoto2"",""omar"",""work"",""carol"",""manuel"",""mary"",""aline"",""alejandro"",""marcos"",""victor"",""mariana"",""casa"",""sage"",""juan"",""access"",""contabilidade"",""vendas"",""juliana"",""dave"",""miriam"",""kim"",""family"",""plex"",""anthony"",""store"",""jose"",""alberto"",""felipe"",""utilizador"",""danilo"",""sara"",""robert"",""web"",""usuario2"",""dan"",""geral"",""julia"",""antonio"",""conta"",""monica"",""compta"",""frank"",""angela"",""roberto"",""steve"",""biuro"",""test1"",""hr"",""sean"",""nick"",""paul"",""ahmad"",""james"",""caixa"",""remoto1"",""sistema"",""print"",""sergio"",""vpnuser"",""bob"",""admin$"",""ricardo"",""administrativo"",""jason"",""asus"",""win"",""sam"",""fernanda"",""windows"",""carmen"",""silvia"",""sarah"",""kodi"",""alexandre"",""recepcao"",""andre"",""fred"",""rick"",""harry"",""roger"",""alan"",""oscar"",""tommy"",""michal"",""gast"",""simone"",""raquel"",""mk"",""elias"",""pracownik"",""apple"",""ksiegowa"",""marc"",""helen"",""paco"",""monika"",""ray"",""nathan"",""samsung"",""caroline"",""fax"",""leticia"",""renata"",""luciana"",""sys"",""vpn3"",""giuseppe"",""emma"",""client"",""luciano"",""martina"",""gebruiker"",""marcio"",""carolina"",""testftp"",""magazyn"",""michel"",""christian"",""tv"",""gabi"",""studio"",""dani"",""robin"",""sabrina"",""teresa"",""externo"",""scaner"",""hassan"",""accounting"",""ftpuser"",""estudio"",""uzak"",""desktop"",""kiosk"",""user5"",""renato"",""erp"",""skany"",""mostrador"",""informatica"",""esther"",""engineer"",""reports"",""ben"",""pos1"",""vera"",""radio"",""karina"",""lisa"",""aspel"",""remoteuser"",""skan"",""sebastian"",""christine"",""marcel"",""anne"",""pdv"",""erika"",""video"",""farmacia"",""flavio"",""tablet"",""bruna"",""mac"",""admin1"",""anwender""]"
